,means,paired,phylum,class,class_fraction
jk18xAbins_42,0.0366946,jk18xAbins_42,p__Bacteroidota,6_c__Rhodothermia,6_c__Rhodothermia_EK01852
p16x43bins_4,0.0300231,p16x43bins_4,p__Bacteroidota,6_c__Rhodothermia,6_c__Rhodothermia_EK01852
p16x63bins_1,0.0329385,p16x63bins_1,p__Bacteroidota,6_c__Rhodothermia,6_c__Rhodothermia_EK01852
jk18x11bins_2,0.0039246,jk18x11bins_2,p__Bacteroidota,6_c__Rhodothermia,6_c__Rhodothermia_CK05917
jk18x11bins_48,0.0362582,jk18x11bins_48,p__Bacteroidota,6_c__Rhodothermia,6_c__Rhodothermia_CK05917
jk18x22bins_66,0.0391588,jk18x22bins_66,p__Bacteroidota,6_c__Rhodothermia,6_c__Rhodothermia_CK05917
jk18x25bins_61,0.0169972,jk18x25bins_61,p__Bacteroidota,6_c__Rhodothermia,6_c__Rhodothermia_CK05917
jk18x34bins_15,0.0191218,jk18x34bins_15,p__Bacteroidota,6_c__Rhodothermia,6_c__Rhodothermia_CK05917
jk18xAbins_42,0.0362582,jk18xAbins_42,p__Bacteroidota,6_c__Rhodothermia,6_c__Rhodothermia_CK05917
p16x43bins_4,0.0297317,p16x43bins_4,p__Bacteroidota,6_c__Rhodothermia,6_c__Rhodothermia_CK05917
p16x63bins_1,0.0345821,p16x63bins_1,p__Bacteroidota,6_c__Rhodothermia,6_c__Rhodothermia_CK05917
